0.0,0.989784239999999
0.01,0.9898764399999983
0.02,0.9899653199999983
0.03,0.9900102399999974
0.04,0.9901437599999968
0.05,0.9902118799999992
0.06,0.9903319199999977
0.07,0.990425519999998
0.08,0.9905156799999981
0.09,0.9906169999999994
0.1,0.9907511599999996
0.11,0.9908351599999999
0.12,0.9909879599999986
0.13,0.9910986399999983
0.14,0.9911841199999984
0.15,0.9913506799999998
0.16,0.99144884
0.17,0.991604199999999
0.18,0.991693519999999
0.19,0.9918323599999994
0.2,0.9919914400000013
0.21,0.9921209599999994
0.22,0.9922587199999999
0.23,0.9924280400000007
0.24,0.9925789600000003
0.25,0.9927063200000009
0.26,0.9928490000000011
0.27,0.9930112799999988
0.28,0.993183800000002
0.29,0.993308160000001
0.3,0.9934507200000028
0.31,0.993570920000002
0.32,0.9937680400000022
0.33,0.9939582400000008
0.34,0.9940932000000023
0.35,0.9942219600000014
0.36,0.9944295200000032
0.37,0.9945861600000009
0.38,0.9947041600000016
0.39,0.9949675200000024
0.4,0.9950865600000002
0.41,0.9952561200000012
0.42,0.9954450000000007
0.43,0.9955825199999992
0.44,0.9957865600000004
0.45,0.9959199599999997
0.46,0.99609
0.47,0.9962587200000009
0.48,0.9964012799999986
0.49,0.9965686399999989
0.5,0.9967271599999988
0.51,0.9968080799999984
0.52,0.9969689199999983
0.53,0.9971215199999984
0.54,0.9972217999999998
0.55,0.9973367199999967
0.56,0.997436159999999
0.57,0.9975338399999979
0.58,0.9976089599999981
0.59,0.9976710399999976
0.6,0.9977583599999985
0.61,0.9978469599999986
0.62,0.9979147599999983
0.63,0.9979864399999985
0.64,0.9980296399999992
0.65,0.9980989599999983
0.66,0.9980703999999978
0.67,0.9981819199999977
0.68,0.9982035999999977
0.69,0.998218839999998
0.7,0.9982516799999992
0.71,0.9982727999999992
0.72,0.9983151999999973
0.73,0.9983323199999993
0.74,0.9983287599999978
0.75,0.9983713599999984
0.76,0.9983718799999979
0.77,0.998418839999999
0.78,0.9983917999999984
0.79,0.9984318000000003
0.8,0.998437119999998
0.81,0.9984429599999975
0.82,0.9984663199999989
0.83,0.9984555999999982
0.84,0.9984533199999979
0.85,0.9984605999999978
0.86,0.9984982799999985
0.87,0.9984645999999989
0.88,0.9985198399999985
0.89,0.9984939999999988
0.9,0.9984812399999979
0.91,0.9984811999999983
0.92,0.9984987599999979
0.93,0.9984963599999986
0.94,0.9985147599999978
0.95,0.9985069999999988
0.96,0.9985349999999985
0.97,0.9984889199999986
0.98,0.9985050799999979
0.99,0.9984990799999983
